system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557517785_chunk_5_enhanced,S4256035000336645,control,1.0,0.9333333333333333
mms-1b-all,5348024557517786_chunk_5_enhanced,S4256035000336645,control,0.5,0.3125
mms-1b-all,5348024557517793_chunk_1_enhanced,S4256035000336645,control,0.2857142857142857,0.08823529411764706
mms-1b-all,5348024557517794_chunk_3_enhanced,S4256035000336645,control,0.35714285714285715,0.1111111111111111
mms-1b-all,5348024557517794_chunk_8_enhanced,S4256035000336645,control,0.5,0.171875
mms-1b-all,5348024557517795_chunk_3_enhanced,S4256035000336645,control,0.6666666666666666,0.20833333333333334
mms-1b-all,5348024557519090_chunk_1_enhanced,S4259723800397320,control,0.42857142857142855,0.18292682926829268
mms-1b-all,5348024557519090_chunk_9_enhanced,S4259723800397320,control,0.2222222222222222,0.08433734939759036
mms-1b-all,5348024557523984_chunk_1_enhanced,S4257709800347002,control,0.29411764705882354,0.13636363636363635
mms-1b-all,5348024557525012_chunk_2_enhanced,S4257709800347002,control,0.3333333333333333,0.07692307692307693
mms-1b-all,5348024557530556_chunk_5_enhanced,S4259723800397320,control,0.3684210526315789,0.11224489795918367
mms-1b-all,5348024557530556_chunk_7_enhanced,S4259723800397320,control,0.09090909090909091,0.03125
mms-1b-all,5348024557530559_chunk_3_enhanced,S4259723800397320,control,0.42857142857142855,0.1511627906976744
mms-1b-all,5348024557530999_chunk_1_enhanced,S4258262800387709,control,0.5333333333333333,0.19047619047619047
mms-1b-all,5348024557531021_chunk_4_enhanced,S4258262800387709,control,0.5,0.3333333333333333
mms-1b-all,5348024557531033_chunk_13_enhanced,S4258262800387709,control,0.3333333333333333,0.125
mms-1b-all,5348024557531033_chunk_6_enhanced,S4258262800387709,control,0.625,0.21333333333333335
mms-1b-all,5348024557531034_chunk_1_enhanced,S4258262800387709,control,0.0,0.0
mms-1b-all,5348024557531034_chunk_7_enhanced,S4258262800387709,control,0.3333333333333333,0.10810810810810811
mms-1b-all,5348024557531035_chunk_3_enhanced,S4258262800387709,control,0.0,0.0
mms-1b-all,5348024557531035_chunk_7_enhanced,S4258262800387709,control,0.08333333333333333,0.03389830508474576
mms-1b-all,5348024557531036_chunk_18_enhanced,S4258262800387709,control,0.125,0.05555555555555555
mms-1b-all,5348024557531036_chunk_22_enhanced,S4258262800387709,control,0.16666666666666666,0.0967741935483871
mms-1b-all,5348024557531036_chunk_4_enhanced,S4258262800387709,control,0.25,0.09090909090909091
mms-1b-all,5348024557531036_chunk_5_enhanced,S4258262800387709,control,0.6,0.30434782608695654
mms-1b-all,5348024557531036_chunk_7_enhanced,S4258262800387709,control,0.5,0.10526315789473684
