system,utt_id,speaker_id,age_band,duration,wer,cer,divergence,substitutions,deletions,insertions,hits,ref_words,hyp_words,speaking_rate
mms-1b-all,5348024557515165_chunk_7_enhanced,S4259723800397320,control,24.254,0.43333333333333335,0.16083916083916083,0.2724941724941725,21,3,2,36,60,59,2.4738187515461365
mms-1b-all,5348024557515174_chunk_3_enhanced,S4259723800397320,control,5.573,0.3333333333333333,0.14285714285714285,0.19047619047619047,3,2,0,10,15,13,2.691548537591961
mms-1b-all,5348024557515175_chunk_1_enhanced,S4259723800397320,control,14.702,0.5294117647058824,0.20994475138121546,0.31946701332466687,12,6,0,16,34,28,2.3126105291797034
mms-1b-all,5348024557515190_chunk_1_enhanced,S4256343500322905,control,5.0560208333,0.09090909090909091,0.061224489795918366,0.029684601113172546,1,0,0,10,11,11,2.175623946711557
mms-1b-all,5348024557515212_chunk_1_enhanced,S4256343500322905,control,18.963,0.23684210526315788,0.059880239520958084,0.1769618657421998,9,0,0,29,38,38,2.0039023361282498
mms-1b-all,5348024557515227_chunk_6_enhanced,S4256343500322905,control,10.956,0.15384615384615385,0.0625,0.09134615384615385,3,0,1,23,26,27,2.3731288791529757
mms-1b-all,5348024557515232_chunk_2_enhanced,S4256343500322905,control,15.591,0.37142857142857144,0.13924050632911392,0.23218806509945752,10,1,2,24,35,36,2.24488486947598
mms-1b-all,5348024557515235_chunk_7_enhanced,S4256343500322905,control,15.5200208333,0.3157894736842105,0.10179640718562874,0.21399306649858177,9,1,2,28,38,39,2.448450321565716
mms-1b-all,5348024557515240_chunk_1_enhanced,S4256343500322905,control,7.359,0.38461538461538464,0.0945945945945946,0.29002079002079006,4,0,1,9,13,14,1.7665443674412284
mms-1b-all,5348024557515240_chunk_3_enhanced,S4256343500322905,control,7.4560208333,0.6666666666666666,0.27941176470588236,0.38725490196078427,5,0,3,7,12,15,1.6094375630504851
mms-1b-all,5348024557515242_chunk_1_enhanced,S4256343500322905,control,7.7440208333,0.16666666666666666,0.05333333333333334,0.11333333333333331,3,0,0,15,18,18,2.3243739121411386
mms-1b-all,5348024557515244_chunk_6_enhanced,S4256343500322905,control,12.7360208333,0.2,0.1125,0.08750000000000001,6,0,1,29,35,36,2.7481110825830233
mms-1b-all,5348024557515548_chunk_1_enhanced,S4258827400305876,control,8.416,0.5384615384615384,0.11594202898550725,0.4225195094760312,5,1,1,7,13,13,1.5446768060836502
mms-1b-all,5348024557515571_chunk_5_enhanced,S4258827400305876,control,1.1200208333,0.6666666666666666,0.42857142857142855,0.23809523809523808,1,1,0,1,3,2,2.6785216049605785
mms-1b-all,5348024557515572_chunk_2_enhanced,S4258827400305876,control,7.744,0.4782608695652174,0.14,0.3382608695652174,9,2,0,12,23,21,2.97004132231405
mms-1b-all,5348024557515577_chunk_1_enhanced,S4258827400305876,control,4.6850208333,0.2,0.03571428571428571,0.1642857142857143,1,0,0,4,5,5,1.0672311133519843
mms-1b-all,5348024557515584_chunk_5_enhanced,S4258827400305876,control,9.764,0.16666666666666666,0.038461538461538464,0.1282051282051282,3,1,0,20,24,23,2.4580090126997134
mms-1b-all,5348024557515584_chunk_6_enhanced,S4258827400305876,control,7.7190208333,0.3076923076923077,0.05084745762711865,0.2568448500651891,3,1,0,9,13,12,1.6841514332903154
mms-1b-all,5348024557515586_chunk_3_enhanced,S4258827400305876,control,10.181,0.15384615384615385,0.06779661016949153,0.08604954367666233,4,0,0,22,26,26,2.553776642765937
mms-1b-all,5348024557515586_chunk_7_enhanced,S4258827400305876,control,6.1460208333,0.34782608695652173,0.0967741935483871,0.2510518934081346,6,0,2,17,23,25,3.742258710771494
mms-1b-all,5348024557515588_chunk_1_enhanced,S4258827400305876,control,3.807,0.2222222222222222,0.07317073170731707,0.14905149051490513,2,0,0,7,9,9,2.3640661938534278
mms-1b-all,5348024557515589_chunk_1_enhanced,S4258827400305876,control,5.4890208333,0.36363636363636365,0.17777777777777778,0.18585858585858586,4,0,0,7,11,11,2.0040004099213444
mms-1b-all,5348024557515590_chunk_2_enhanced,S4258827400305876,control,11.2860208333,0.1111111111111111,0.023809523809523808,0.0873015873015873,2,1,0,24,27,26,2.3923400814869202
mms-1b-all,5348024557515591_chunk_1_enhanced,S4258827400305876,control,5.262,0.25,0.12727272727272726,0.12272727272727274,3,0,0,9,12,12,2.280501710376283
mms-1b-all,5348024557515592_chunk_3_enhanced,S4258827400305876,control,15.9660208333,0.20930232558139536,0.06593406593406594,0.1433682596473294,8,1,0,34,43,42,2.693219584827034
mms-1b-all,5348024557515593_chunk_5_enhanced,S4258827400305876,control,7.853,0.5555555555555556,0.18072289156626506,0.3748326639892905,10,0,0,8,18,18,2.292117662039985
mms-1b-all,5348024557515598_chunk_3_enhanced,S4258827400305876,control,9.534,0.25,0.0990990990990991,0.15090090090090091,5,1,0,18,24,23,2.5173064820641913
mms-1b-all,5348024557515601_chunk_3_enhanced,S4258827400305876,control,8.536,0.25,0.05154639175257732,0.1984536082474227,4,1,0,15,20,19,2.343017806935333
mms-1b-all,5348024557516676_chunk_1_enhanced,S4257709800347002,control,5.826,0.3333333333333333,0.047619047619047616,0.2857142857142857,3,0,1,9,12,13,2.059732234809475
mms-1b-all,5348024557516690_chunk_1_enhanced,S4257709800347002,control,15.8750208333,0.3181818181818182,0.13705583756345177,0.1811259806183664,10,2,2,32,44,44,2.7716499059770716
mms-1b-all,5348024557516693_chunk_4_enhanced,S4257709800347002,control,3.423,1.0,0.3333333333333333,0.6666666666666667,5,0,0,0,5,5,1.4607069821793748
mms-1b-all,5348024557516702_chunk_1_enhanced,S4257709800347002,control,22.8140208333,0.35555555555555557,0.09130434782608696,0.26425120772946864,15,1,0,29,45,44,1.9724712416461332
